Albanian_BIN|Albanian, binary sort
Albanian_100_CS_AS_KS_WS_SC|Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Arabic_BIN|Arabic, binary sort
Arabic_BIN2|Arabic, binary code point comparison sort
Arabic_CI_AI|Arabic, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_CI_AI_WS|Arabic, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_CI_AI_KS|Arabic, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_CI_AI_KS_WS|Arabic, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_CI_AS|Arabic, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_CI_AS_WS|Arabic, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_CI_AS_KS|Arabic, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_CI_AS_KS_WS|Arabic, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_CS_AI|Arabic, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_CS_AI_WS|Arabic, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_CS_AI_KS|Arabic, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_CS_AI_KS_WS|Arabic, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_CS_AS|Arabic, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_CS_AS_WS|Arabic, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_CS_AS_KS|Arabic, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_CS_AS_KS_WS|Arabic, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_100_BIN|Arabic-100, binary sort
Arabic_100_BIN2|Arabic-100, binary code point comparison sort
Arabic_100_CI_AI|Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_100_CI_AI_WS|Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_100_CI_AI_KS|Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_100_CI_AI_KS_WS|Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_100_CI_AS|Arabic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_100_CI_AS_WS|Arabic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_100_CI_AS_KS|Arabic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_100_CI_AS_KS_WS|Arabic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_100_CS_AI|Arabic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_100_CS_AI_WS|Arabic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_100_CS_AI_KS|Arabic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_100_CS_AI_KS_WS|Arabic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_100_CS_AS|Arabic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_100_CS_AS_WS|Arabic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_100_CS_AS_KS|Arabic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_100_CS_AS_KS_WS|Arabic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_100_CI_AI_SC|Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Arabic_100_CI_AI_WS_SC|Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Arabic_100_CI_AI_KS_SC|Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Arabic_100_CI_AI_KS_WS_SC|Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Arabic_100_CI_AS_SC|Arabic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Arabic_100_CI_AS_WS_SC|Arabic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Arabic_100_CI_AS_KS_SC|Arabic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Arabic_100_CI_AS_KS_WS_SC|Arabic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Arabic_100_CS_AI_SC|Arabic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Arabic_100_CS_AI_WS_SC|Arabic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Arabic_100_CS_AI_KS_SC|Arabic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Arabic_100_CS_AI_KS_WS_SC|Arabic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Arabic_100_CS_AS_SC|Arabic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Arabic_100_CS_AS_WS_SC|Arabic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Arabic_100_CS_AS_KS_SC|Arabic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Arabic_100_CS_AS_KS_WS_SC|Arabic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Assamese_100_BIN|Assamese-100, binary sort
Assamese_100_BIN2|Assamese-100, binary code point comparison sort
Assamese_100_CI_AI|Assamese-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Assamese_100_CI_AI_WS|Assamese-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Assamese_100_CI_AI_KS|Assamese-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Assamese_100_CI_AI_KS_WS|Assamese-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Assamese_100_CI_AS|Assamese-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Assamese_100_CI_AS_WS|Assamese-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Assamese_100_CI_AS_KS|Assamese-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Assamese_100_CI_AS_KS_WS|Assamese-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Assamese_100_CS_AI|Assamese-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Assamese_100_CS_AI_WS|Assamese-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Assamese_100_CS_AI_KS|Assamese-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Assamese_100_CS_AI_KS_WS|Assamese-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Assamese_100_CS_AS|Assamese-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Assamese_100_CS_AS_WS|Assamese-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Assamese_100_CS_AS_KS|Assamese-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Assamese_100_CS_AS_KS_WS|Assamese-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Assamese_100_CI_AI_SC|Assamese-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Assamese_100_CI_AI_WS_SC|Assamese-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Assamese_100_CI_AI_KS_SC|Assamese-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Assamese_100_CI_AI_KS_WS_SC|Assamese-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Assamese_100_CI_AS_SC|Assamese-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Assamese_100_CI_AS_WS_SC|Assamese-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Assamese_100_CI_AS_KS_SC|Assamese-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Assamese_100_CI_AS_KS_WS_SC|Assamese-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Assamese_100_CS_AI_SC|Assamese-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Assamese_100_CS_AI_WS_SC|Assamese-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Assamese_100_CS_AI_KS_SC|Assamese-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Assamese_100_CS_AI_KS_WS_SC|Assamese-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Assamese_100_CS_AS_SC|Assamese-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Assamese_100_CS_AS_WS_SC|Assamese-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Assamese_100_CS_AS_KS_SC|Assamese-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Assamese_100_CS_AS_KS_WS_SC|Assamese-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_BIN|Azeri-Cyrillic-100, binary sort
Azeri_Cyrillic_100_BIN2|Azeri-Cyrillic-100, binary code point comparison sort
Azeri_Cyrillic_100_CI_AI|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Azeri_Cyrillic_100_CI_AI_WS|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Azeri_Cyrillic_100_CI_AI_KS|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Azeri_Cyrillic_100_CI_AI_KS_WS|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Azeri_Cyrillic_100_CI_AS|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Azeri_Cyrillic_100_CI_AS_WS|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Azeri_Cyrillic_100_CI_AS_KS|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Azeri_Cyrillic_100_CI_AS_KS_WS|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Azeri_Cyrillic_100_CS_AI|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Azeri_Cyrillic_100_CS_AI_WS|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Azeri_Cyrillic_100_CS_AI_KS|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Azeri_Cyrillic_100_CS_AI_KS_WS|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Azeri_Cyrillic_100_CS_AS|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Azeri_Cyrillic_100_CS_AS_WS|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Azeri_Cyrillic_100_CS_AS_KS|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Azeri_Cyrillic_100_CS_AS_KS_WS|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Azeri_Cyrillic_100_CI_AI_SC|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CI_AI_WS_SC|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_CI_AI_KS_SC|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CI_AI_KS_WS_SC|Azeri-Cyrillic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_CI_AS_SC|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CI_AS_WS_SC|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_CI_AS_KS_SC|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CI_AS_KS_WS_SC|Azeri-Cyrillic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_CS_AI_SC|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CS_AI_WS_SC|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_CS_AI_KS_SC|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CS_AI_KS_WS_SC|Azeri-Cyrillic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_CS_AS_SC|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CS_AS_WS_SC|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Cyrillic_100_CS_AS_KS_SC|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Cyrillic_100_CS_AS_KS_WS_SC|Azeri-Cyrillic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Latin_100_BIN|Azeri-Latin-100, binary sort
Azeri_Latin_100_BIN2|Azeri-Latin-100, binary code point comparison sort
Azeri_Latin_100_CI_AI|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Azeri_Latin_100_CI_AI_WS|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Azeri_Latin_100_CI_AI_KS|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Azeri_Latin_100_CI_AI_KS_WS|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Azeri_Latin_100_CI_AS|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Azeri_Latin_100_CI_AS_WS|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Azeri_Latin_100_CI_AS_KS|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Azeri_Latin_100_CI_AS_KS_WS|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Azeri_Latin_100_CS_AI|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Azeri_Latin_100_CS_AI_WS|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Azeri_Latin_100_CS_AI_KS|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Azeri_Latin_100_CS_AI_KS_WS|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Azeri_Latin_100_CS_AS|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Azeri_Latin_100_CS_AS_WS|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Azeri_Latin_100_CS_AS_KS|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Azeri_Latin_100_CS_AS_KS_WS|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Azeri_Latin_100_CI_AI_SC|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CI_AI_WS_SC|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Latin_100_CI_AI_KS_SC|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CI_AI_KS_WS_SC|Azeri-Latin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Latin_100_CI_AS_SC|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CI_AS_WS_SC|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Latin_100_CI_AS_KS_SC|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CI_AS_KS_WS_SC|Azeri-Latin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Latin_100_CS_AI_SC|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CS_AI_WS_SC|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Latin_100_CS_AI_KS_SC|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CS_AI_KS_WS_SC|Azeri-Latin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Azeri_Latin_100_CS_AS_SC|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CS_AS_WS_SC|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Azeri_Latin_100_CS_AS_KS_SC|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Azeri_Latin_100_CS_AS_KS_WS_SC|Azeri-Latin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Bashkir_100_BIN|Bashkir-100, binary sort
Bashkir_100_BIN2|Bashkir-100, binary code point comparison sort
Bashkir_100_CI_AI|Bashkir-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Bashkir_100_CI_AI_WS|Bashkir-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Bashkir_100_CI_AI_KS|Bashkir-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Bashkir_100_CI_AI_KS_WS|Bashkir-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Bashkir_100_CI_AS|Bashkir-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Bashkir_100_CI_AS_WS|Bashkir-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Bashkir_100_CI_AS_KS|Bashkir-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Bashkir_100_CI_AS_KS_WS|Bashkir-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Bashkir_100_CS_AI|Bashkir-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Bashkir_100_CS_AI_WS|Bashkir-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Bashkir_100_CS_AI_KS|Bashkir-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Bashkir_100_CS_AI_KS_WS|Bashkir-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Bashkir_100_CS_AS|Bashkir-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Bashkir_100_CS_AS_WS|Bashkir-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Bashkir_100_CS_AS_KS|Bashkir-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Bashkir_100_CS_AS_KS_WS|Bashkir-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Bashkir_100_CI_AI_SC|Bashkir-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Bashkir_100_CI_AI_WS_SC|Bashkir-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Bashkir_100_CI_AI_KS_SC|Bashkir-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Bashkir_100_CI_AI_KS_WS_SC|Bashkir-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Bashkir_100_CI_AS_SC|Bashkir-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Bashkir_100_CI_AS_WS_SC|Bashkir-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Bashkir_100_CI_AS_KS_SC|Bashkir-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Bashkir_100_CI_AS_KS_WS_SC|Bashkir-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Bashkir_100_CS_AI_SC|Bashkir-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Bashkir_100_CS_AI_WS_SC|Bashkir-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
